gnd_id,preferred_name,variant_names,date_of_birth,date_of_death,professions,places_of_birth
103086838,"Gossembrot, Sigismundus",Sigismund Gossembrot|Cosmiprot Sigismundus|Sigismundus Gossenbrot|Sigismond Gossenprot|Gossenprot Sigismond|Gossembrot Sigismundus|Gossenbrot Sigismond|Gossenpot Sigismundus|Gossembrot Sigmund|Sigmund Gossembrot|Sigismond Grossenbrot|Sigismundus Cosmiprot|Sigismundus Gossembrot,1417,1493,Kaufmann|Bürgermeister|Humanist,
103101098,"Gässeler, Johannes",Jean Gässler|Gässeler Johannes|Gässler Jean|Gesseler Johannes|Johannes Gesler|Johannes Gesseler|Gesler Johannes|Johannes Gässeler,,,,
103102884,"Silvester, von Rebdorf",von Passau Silvester|de Patavia Silvester|Silvester de Patavia|Dekan Silvester|Propst Silvester|Silvester von Rebdorf|von Rebdorf Silvester,,,Propst,Passau
103102906,"Gessel, Leonhard",Gessel Leonhard|Léonard Gessel|Gessel Léonard|Gässel Leonhard|Leonhard Gässel|Leonhard Gessel,,1465,Domdekan,
103115226,"Sälder, Konrad",Konrad Selder|Sälder Konrad|Selder Konrad|Säldner Konrad|Konrad Säldner|Konrad Sälder,,1471,,
10312585X,"Isotta, Nogarola","Nogarola Isota|Isota Nogarole|Isotta Nogarola|Nogarola, Gräfin Isota|Nogarola Veronensis Isota|Nogarole Isota|Isota Nogarola|Isotha Nugarola|Nogarola Isotta",,,Humanistin,
103126163,"Ödenhofer, Thomas",Ödenhofer Thomas|Thomas Ödenhofer,,,,
103127208,"Rotenpeck, Hieronymus",Rotenpeck Hieronymus|a Rottenburg Hieronymus|Hieronymus Rotenpeck,,1473,,
104213817,"Bonacursus, de Montemagno",de Montemagno Bonaccursius|da Pistoia Bonaccorso|Pistoriensis Bonacursus|da Montemagno Buonaccurso|da Montemagno ; der Jüngere Buonaccorso|Pistoriensis Bonagarsus|da Montemagno Buonaccorso|Buonaccorso Da Montemagno|Buonaccorso da Montemagno|Buonaccorso di Lapo da Montemagno|Bonacursus de Montemagno|der Jüngere Bonacursus|il Giovane Buonaccorso|da Pistoia Surse|Buonaccurso da Montemagno|Pistoriense Bonagarso|de Montemagno Bonacursus,1391,1429,Lyriker|Humanist|Jurist|Botschafter,Pistoia
104335882,"Galeottus, Martius","Galeottus Novariensis Martius|Marzio da Narni Galeotto|Martius Narniensis, Humanist Galeottus|Galeot Martius|Galeottus Martius|Martius Narniensis Galeottus|Galeottus Marcius|Galeottus, Humanist Martius|Marzio Galeotto|Martius, Humanist Galeottus|Marzio Galeotti|de Narni Galeotto|Galeotus Martius|Galeotto Marzio|Martius Galeottus",1427,1497,Humanist,
1052888291,"Bonacursus, de Montemagno",der Ältere Bonacursus|da Montemagno Buonaccorso|Buonaccorso da Montemagna|il Vecchio Buonaccorso|de Montemagno Bonacursus,,1390,Jurist|Schriftsteller,Pistoia
108934922X,"Johannes, de Hesdinio",Johannes de Hesdinio|di Hesdin Giovanni|Jean de Hesdin|d'Hesdin Jean|de Hisdinio Johannes|de Hesdin Jean|de Hesdinio Johannes,,,,
1122846843,Angelus Medicus,Angelus Medicus,,,,
1147084556,"Zukunft, Hans",Hans Zukunft,,,Schriftsteller,
1154884554,"Barzizza, Antonio",Antonius Barsizius|Antonius Barrisius|Antonius Barzraius|Antonius Barzizius|Antonio Barzizza,,,Schriftsteller,
115553932,"Laurus, Quirinus",Laurus Quirinus|Quirinus Laurus,,,,
118500805,"Ägidius, Bourges, Erzbischof","de Roma Gil|Guido de Columna|Egidio de, Erzbischof, Eremit Colonna|Guido Delle Colonne|Egidio Colonna|de Plantis Guido|de Roma Aegidius|Bituricensis Aegidius|de Colonne Gilles|Romanus Egidius|Guido delle Colonne|Romanus Pseudo-Aegidius|de Rome Gilles|Aegidius Columna|de Columna Aegidus|Colonna Guido|Columna Aegidius|Egidius Romanus|Romanus Aegidius|Egidius Columna|Romano Egidio|of Rome Giles|von Rom, Asgustinerorder, Generalprior Ägidius|Egidius Colonna|Erzbischof, Eremit Aegidius de Roma|delle Colonne Guido|de Columna Guido|aus Rom Aegidius|de Columna Aegidius|Erzbischof, Eremit Giles of Rome|de Colonna Guido|Aegidius Romanus|Erzbischof, Eremit Egidio Romano|de Roma Egidius|Aegidus de Columna|von Rom, Bourges, Erzbischof Ägidius|von Rom Aegidius|Egidius, Erzbischof, Eremit Romanus|Egidio Romano|Guido Colonna|Romanus Guido|Guido de Columnis|Erzbischof, Eremit Aegidius Romanus|Bourges, Erzbischof Ägidius",1243,1316-12-22,Erzbischof|Generaloberer,Rom
118501895,"Alexander, de Roes",Alexander de Roes|von Roes Alexander|de Roes Alexander,1225,1288,Kanoniker,
118502026,Alkuin,Albinus Flaccus Alcuinus|Theologus Albinus|Scholiasticus Albinus|Flaccus Albinus|Flaccus Alcuin|Pseudo-Alcuinus|Alcuin|Anglicus Albinus|Flaccus Alcwinus|Aldwinus|Alquinus|Alchbinus|Alkvin|Alchvine|d'York Alcuin|Albinus Flaccus Alcuin|Abbas Alcuinus|Beatus Flaccus Albinus|Albinus|Albinus Flaccus|Alcuinus Levita|Alcuinus Levita|Albinos|Turonensis Alcuinus|Albinus F. Alcuinus|Flaccus Alcuinus|Flaccus Albinus|Eboracensis Alcuinus|Alchuine|Abbas Alchuinus|Platonicus Albinus|Scholiasta Vetus Albinus|Alchuinus|Alcuinus|Alcuinus Albinus|Albinus Alcuinus|Ealhwine|Albinus Flaccus Alcwinus|diaconus Anglicus Albinus|Alcuino|Alcuinus Flaccus|Albuinus|Abbas Alchuninus|Puplius Alchuinus|Abbas Albinus|Diaconus Albinus|Flaccus Pseudo-Alcuinus|Alkinoos|Levita Alcuinus|di York Alcuino|Alcwinus|Albinus Diaconus|Alcuinus Albinus Flaccus|of York Alcuin|von York Alkuin|Alchwinus|Scholiasta Albinus|Alkuin,0735,0804,Gelehrter,
11850245X,"Ambrosius, Mediolanensis, Heiliger","of Milan Ambrosius|Saint'Ambrogio|Mailand, Bischof, Heiliger Ambrosius|Santo Ambrogio|Mediolanensis, Episcopus Ambrosius|von Mailand Ambrosius|Mediolanski Ambrosij|Mediolanskij Amvrosij|Saint Ambroise|Mediolanensis Ambrosius|de Milán Ambrosio|Christian Writer Ambrosius|Saint Ambrosius|Pseudo-Ambrosius|Scriptor Ecclesiasticus Ambrosius|de Milan Ambroise|Episcopus Mediolanensis Ambrosius|di Milano Ambrogio|Ambrosiaster|Ambrosius von Mailand|Sanctus Ambrosius|Bischof Ambrosius|Świe̜ty Ambroźy|Kirchenvater Ambrosius|Episcopus Ambrosius|Saint Ambrose|Saint Ambrose|Mediolanensis, Heiliger Ambrosius",0339,0397,Bischof|Kirchenlehrer|Kirchenmusiker,Trier
118502905,"Andreas, Capellanus",la Vache Drouart|Hofkapellan Andreas|Drouart LaVache|Cappellano Andrea|André Le Chapelain|Andrea Cappellano|Capelão André|LeChapelain André|Andreas Capellanus|André LeChapelain|el Capellán Andrés|André le Chapelain|le Chapelain André|Capellanus Andreas,1150,1220,Schriftsteller|Übersetzer,
